uid,created_at,updated_at,deleted_at,code,name_en,family,horizon,water_need,cost_class,main_zones_mask,note,name_hn,name_kn,name_ta,name_te,name_ml,name_mr,name_gu,name_bn,name_pa,name_ur,name_ne,name_or,name_as,icon_url
crop-080,2026-08-10 09:47:53.589862+00:00,,,80,Guava,Fruit,PERENNIAL,LOW,MEDIUM,920,Hardy fruit,अमरूद,ಸೀಬೆಹಣ್ಣು,கொய்யா,జామకాయ,പേരയ്ക്ക,पेरू,જામફળ,পেয়ারা,ਅਮਰੂਦ,امرود,अम्बा,ପିଜୁଳି,মধুৰীআম,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/guava.png
crop-081,2026-08-10 09:47:53.589862+00:00,,,81,Pomegranate,Fruit,PERENNIAL,LOW,HIGH,4864,Dry-zone star,अनार,ದಾಳಿಂಬೆ,மாதுளை,దానిమ్మ,മാതളനാരകം,डाळिंब,દાડમ,বেদানা / ডালিম,ਅਨਾਰ,انار,अनार,ଡାଳିମ୍ବ,ডালিম,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/pomegranate.png
crop-083,2026-08-10 09:47:53.589862+00:00,,,83,Sweet orange,Fruit,PERENNIAL,MEDIUM,HIGH,768,Citrus belt,मौसंबी,ಮೋಸಂಬಿ,சாத்துக்குடி,బత్తాయి,മൊസമ്പി,मोसंबी,મોસંબી,মুসাম্বি লেবু,ਮੁਸੰਮੀ,موسمبی,मौसम,ମୌସୁମୀ,মৌচুমী,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/orange.png
crop-086,2026-08-10 09:47:53.589862+00:00,,,86,Sapota,Fruit,PERENNIAL,MEDIUM,MEDIUM,7680,Coastal & south,चीकू,ಚಿಕ್ಕು,சப்போட்டா,సపోటా,സപ്പോട്ട,चिकू,ચીકુ,সফেদা,ਚੀਕੂ,چیکو,चीकु,ସପେଟା,চবেদা,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/sapota.png
crop-087,2026-08-10 09:47:53.589862+00:00,,,87,Custard apple,Fruit,PERENNIAL,LOW,LOW,896,Wasteland fruit,शरीफा / सीताफल,ಸೀತಾಫಲ,சீதாப்பழம்,సీతాఫలం,ആത്തച്ചക്ക / സീതപ്പഴം,सीताफळ,સીતાફળ,আতা ফল,ਸ਼ਰੀਫਾ,شریفہ / سیتا پھل,सरीफा,ଆତ,আতাফল,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/custard-apple.png
crop-089,2026-08-10 09:47:53.589862+00:00,,,89,Jackfruit,Fruit,PERENNIAL,LOW,LOW,3586,Low input,कटहल,ಹಲಸಿನಹಣ್ಣು,பலாப்பழம்,పనసపండు,ചക്ക,फणस,ફણસ,কাঁঠাল,ਕਟਹਲ,کٹہل,कटहर,ପଣସ,কঁঠাল,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/jackfruit.png
crop-090,2026-08-10 09:47:53.589862+00:00,,,90,Ber,Fruit,PERENNIAL,LOW,LOW,12416,Arid fruit,बेर,ಬೋರೆಹಣ್ಣು,இலந்தைப்பழம்,రేగుపండు,ഇലന്തപ്പഴം,बोर,બોર,কুল / বরই,ਬੇਰ,بیر,बयर,ବରକୋଳି,বগৰী,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/ber.png
crop-091,2026-08-10 09:47:53.589862+00:00,,,91,Amla,Fruit,PERENNIAL,LOW,LOW,4480,"Hardy, ayurveda",आंवला,ನೆಲ್ಲಿಕಾಯಿ,நெல்லிக்காய்,ఉసిరికాయ,നെല്ലിക്ക,आवळा,આંબળા,আমলকী,ਆਂਵਲਾ,آنولہ,अम Pioneer,ଅଁଳା,আমলখি,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/amla.png
crop-092,2026-08-10 09:47:53.589862+00:00,,,92,Dragon fruit,Fruit,ANNUAL,LOW,HIGH,4864,New high-value,ड्रैगन फ्रूट / कमलम,ಡ್ರ್ಯಾಗನ್ ಹಣ್ಣು,டிராகன் பழம்,డ్రాగన్ ఫ్రూట్,ഡ്രാഗൺ ഫ്രൂട്ട്,ड्रॅगन फ्रूट,ડ્રેગન ફ્રુટ / કમલમ,ড্রাগন ফল,ਡ੍ਰੈਗਨ ਫਲ,ڈریگن فروٹ,ड्रागन फल,ଡ୍ରାଗନ ଫଳ,ড্ৰেগন ফল,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/Dragon_Fruit.jpg
crop-093,2026-08-10 09:47:53.589862+00:00,,,93,Strawberry,Fruit,SEASONAL,MEDIUM,HIGH,257,Cool-season berry,स्ट्रॉबेरी,ಸ್ಟ್ರಾಬೆರಿ,ஸ்ட்ராபெரி,స్ట్రాబెర్రీ,സ്ട്രോബെറി,स्ट्रॉबेरी,સ્ટ્રોબેરી,স্ট্রবেরি,ਸਟ੍ਰਾਬੇਰੀ,سٹرابیری,स्ट्रबेरी,ଷ୍ଟ୍ରବେରୀ,ষ্ট্ৰবেৰী,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/strawberry.png
crop-102,2026-08-10 09:47:53.589862+00:00,,,102,Lucerne,Fodder,SEASONAL,MEDIUM,LOW,4128,Protein fodder,ल्यूसर्न / अल्फाल्फा,ಕುದುರೆ ಮೆಂತ್ಯ,குதிரை மசால்,లూసర్న్ గ్రాసం,കുതിരപ്പയർ / ലൂസേൺ,लसूण घास / अल्फाल्फा,રજકો / લ્યુસર્ન,আলফালফা,ਲੂਸਰਨ,لوسرن,लुसर्न घाँस,ଲୁସର୍ଣ୍ଣ ଘାସ,লুচাৰ্ন,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Lucerne.jpg
crop-062,2026-08-10 09:47:53.589862+00:00,,,62,Ginger,Spice,ANNUAL,MEDIUM,HIGH,2562,High value,अदरक,ಶುಂಠಿ,இஞ்சி,అల్లం,ഇഞ്ചി,आले / अद्रक,આદું,আদা,ਅਦਰਕ,ادرک,अदुवा,ଅଦା,আদা,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/ginger_crop.jpg
crop-001,2026-08-10 09:47:53.589862+00:00,,,1,Rice (paddy),Cereal,SEASONAL,HIGH,MEDIUM,3644,Staple; assured market,धान / चावल,ಭತ್ತ,நெல்,వరి,നെല്ല്,भात / तांदूळ,ડાંગર,ধান,ਝੋਨਾ,دھان / چاول,धान,ଧାନ,ধান,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/rice_crop.jpg
crop-026,2026-08-10 09:47:53.589862+00:00,,,26,Sesame,Oilseed,SEASONAL,LOW,LOW,4480,Low-input,तिल,ಎಳ್ಳು,எள்,నువ్వులు,എള്ള്,तीळ,તલ,তিল,ਤਿਲ,تل,तिल,ରାଶି / ତିଳ,তিল,
crop-003,2026-08-10 09:47:53.589862+00:00,,,3,Maize,Cereal,SEASONAL,MEDIUM,MEDIUM,984,Grain + fodder,मक्का,ಮೆಕ್ಕೆಜೋಳ,மக்காச்சோளம்,మొక్కజొన్న,മക്കച്ചോളം,मका,મકાઈ,ভুট্টা,ਮੱਕੀ,مکئی,मकै,ମକା,মাকৈ,
crop-004,2026-08-10 09:47:53.589862+00:00,,,4,Sorghum,Millet,SEASONAL,LOW,LOW,896,Dryland cereal,ज्वार,ಜೋಳ,சோளம்,జొన్నలు,ചോളം,ज्वारी,જુવાર,জোয়ার,ਜਵਾਰ,جوار,जुनेलो,ଜୁଆର,জোৱাৰ,
crop-005,2026-08-10 09:47:53.589862+00:00,,,5,Pearl millet,Millet,SEASONAL,LOW,LOW,12416,Arid zones,बाजरा,ಸಜ್ಜೆ,கம்பு,సజ్జలు,കമ്പം,बाजरी,બાજરી,বাজরা,ਬਾਜਰਾ,باجرہ,बाजरा,ବାଜରା,বাজৰা,
crop-007,2026-08-10 09:47:53.589862+00:00,,,7,Foxtail millet,Millet,SEASONAL,LOW,LOW,768,Rising demand,कंगनी,ನವಣೆ,தினை,కొర్రలు,തിന,राळा,કાંગ,কাওন,ਕੰਗਣੀ,کنگنی,कागुनो,କାଙ୍ଗୁ,কণী ধান,
crop-009,2026-08-10 09:47:53.589862+00:00,,,9,Little millet,Millet,SEASONAL,LOW,LOW,576,Tribal belts,कुटकी,ಸಾಮೆ,சாமை,సామలు,ചാമ,वरी / कुटकी,ગજરો / મોરૈયો,সুকমা,ਕੁਟਕੀ,کٹکی,सानो कोदो,ସୁଆଁ,কুটকী,
crop-010,2026-08-10 09:47:53.589862+00:00,,,10,Barley,Cereal,SEASONAL,LOW,LOW,8368,Hardy winter cereal,जौ,ಬಾರ್ಲಿ / ಜವೆಗೋಧಿ,பார்லி,బార్లీ / యవలు,ബാർലി,जव / बार्ली,જવ,যব,ਜੌਂ,جو,जौ,ଯବ,যৱ,
crop-016,2026-08-10 09:47:53.589862+00:00,,,16,Cowpea,Pulse,SEASONAL,LOW,LOW,4864,Food+fodder,लोबिया / चौलाई,ಅಲಸಂದೆ,காராமணி,అలస Ret / బొబ్బర్లు,വൻപയർ / അച്ചിങ്ങ,चवळी,ચોળી,বরবটি / লোবিয়া,ਰੌਂਗੀ,لوبیا,बोडी,ଝୁଡ଼ଙ୍ଗ,লচপচী,
crop-075,2026-08-10 09:47:53.589862+00:00,,,75,Tea,Plantation,PERENNIAL,HIGH,HIGH,3,Hills,चाय,ಚಹಾ,தேயிலை,తేయాకు,തേയില,चहा,ચા,চা,ਚਾਹ,چائے,चिया,ଚା,চাহ,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Tea.jpeg
crop-017,2026-08-10 09:47:53.589862+00:00,,,17,Field pea,Pulse,SEASONAL,LOW,LOW,24,North plains,मटर (सूखा),ಬಟಾಣಿ,பட்டாணி,బఠాణీలు,പട്ടாണി പയർ,वाटाणा,વટાણા,মটর ডাল,ਮਟਰ,مٹر,केराउ,ମଟର,মটৰ,
crop-018,2026-08-10 09:47:53.589862+00:00,,,18,Moth bean,Pulse,SEASONAL,LOW,LOW,12288,Desert pulse,मोठ,ಮಡಿಕೆ ಕಾಳು,நரிப்பயறு,కుంకుమ పెసలు,മോത്ത് പയർ,मठ,મઠ,মথ বিন,ਮੋਠ,موٹھ,मोठ,ମଠ,মথ,
crop-021,2026-08-10 09:47:53.589862+00:00,,,21,Guar,Pulse,SEASONAL,LOW,LOW,12288,Gum demand,ग्वार / ग्वारफली,ಗೋರಿಕಾಯಿ,கொத்தவரங்காய்,గోరుచిక్కుడు,കൊത്തമര,गवार,ગુવાર,গুয়ার,ਗਵਾਰਾ,گوار,ग्वार,ଗୁଆଁର,গুৱাৰ,
crop-096,2026-08-10 09:47:53.589862+00:00,,,96,Rose,Flower,ANNUAL,MEDIUM,HIGH,785,Cut-flower mkt,गुलाब,ಗುಲಾಬಿ,ரோஜா,గులాబీ,റോസാപ്പൂവ്,गुलाब,ગુલાબ,গোলাপ,ਗੁਲਾਬ,گلاب,गुलाब,ଗୋଲାପ,গোলাপ,
crop-025,2026-08-10 09:47:53.589862+00:00,,,25,Sunflower,Oilseed,SEASONAL,MEDIUM,MEDIUM,800,Flexible planting,सूरजमुखी,ಸೂರ್ಯಕಾಂತಿ,சூரியகாந்தி,పొద్దుతిరుగుడు,സൂര്യകാന്തി,सूर्यफूल,સૂર્યમુખી,সূর্যমুখী,ਸੂਰਜਮੁਖੀ,سورج مکھی,सूर्यमुखी,ସୂର୍ଯ୍ୟମୁଖୀ,সূৰ্যমুখী,
crop-028,2026-08-10 09:47:53.589862+00:00,,,28,Safflower,Oilseed,SEASONAL,LOW,LOW,768,Dryland rabi,कुसुम,ಕುಸುಬೆ,குசும்பப்பூ,కుసుమలు,കുസുമം,करडई,કુસુમ / કરડી,কুসুম ফুল,ਕਸੁੰਭਾ,قرطم / کسم,कुसुम,କୁସୁମ,কুসুম,
crop-029,2026-08-10 09:47:53.589862+00:00,,,29,Linseed,Oilseed,SEASONAL,LOW,LOW,192,Residual moisture,अलसी,ಅಗಸೆ,ஆளி விதை,అవిసెలు,ചണവിത്ത് / ഫ്ലാക്സ് സീഡ്,जवस,અળસી,তিসি,ਅਲਸੀ,السی,अलस,ପେଶି,তিচি,
crop-030,2026-08-10 09:47:53.589862+00:00,,,30,Niger,Oilseed,SEASONAL,LOW,LOW,64,Tribal-belt,रामतिल,ಹುಚ್ಚೆಳ್ಳು,பேயெள்ளு,వలసలు / పిచ్చినువ్వులు,രാംതില്,कारळे / खुरसाणी,રામતિલ,গুজি তিল,ਰਾਮਤਿਲ,رام تل,झिल्गे,ଅଳସୀ / ଖସା,ৰামতিল,
crop-032,2026-08-10 09:47:53.589862+00:00,,,32,Jute,Fibre,SEASONAL,HIGH,MEDIUM,12,Wet alluvial,पटसन / जूट,ಸೆಣಬು,சணல்,జనపనార,ചണം,ताग,શણ,পাট,ਪਟਸਨ,پٹ سن,পাট,ଝୋଟ,মৰাপাট,
crop-088,2026-08-10 09:47:53.589862+00:00,,,88,Litchi,Fruit,PERENNIAL,MEDIUM,HIGH,24,Bihar belt,लीची,ಲಿಚಿ,லிச்சி,లిచీ,ലിച്ചി,लिची,લીચી,লিচু,ਲੀਚੀ,لیچی,लिची,ଲିଚୁ,লেচু,
crop-068,2026-08-10 09:47:53.589862+00:00,,,68,Black pepper,Spice,PERENNIAL,HIGH,MEDIUM,2048,Vine on trees,काली मिर्च,ಕರಿಮೆಣಸು,கருமிளகு,మిరియాలు,കുരുമുളക്,काळी मिरी,કાળા મરી,গোলমরিচ,ਕਾਲੀ ਮਿਰਚ,کالی مرچ,मरीच,ଗୋଲମରିଚ,জালুক,
crop-074,2026-08-10 09:47:53.589862+00:00,,,74,Rubber,Plantation,PERENNIAL,HIGH,HIGH,2048,Humid coast,रबर,ರಬ್ಬರ್,ரப்பர்,రబ్బరు,റബ്ബർ,रबर,રબર,রাবার,ਰਬੜ,ربڑ,रबर,ରବର,ৰবৰ,
crop-082,2026-08-10 09:47:53.589862+00:00,,,82,Lime/lemon,Fruit,PERENNIAL,MEDIUM,MEDIUM,5888,Steady demand,नींबू,ನಿಂಬೆಹಣ್ಣು,எலுமிச்சை,నిమ్మకాయ,നാരങ്ങ / ചെറുനാരങ്ങ,लिंबू,લીંબુ,লেবু,ਨਿੰਬੂ,لیمو,कागती,ଲେମ୍ବୁ,নেমু,
crop-084,2026-08-10 09:47:53.589862+00:00,,,84,Mandarin,Fruit,PERENNIAL,MEDIUM,HIGH,770,Nagpur/NE,संतरा,ಕಿತ್ತಳೆ,கமலா ஆரஞ்சு,కమలాపండు,ഓറഞ്ച്,संत्रे,સંતરા,কমলালেবু,ਸੰਤਰਾ / ਕਿੰਨੂ,سنگترہ / کینو,सुन्तला,କମଳା,কমলা,
crop-094,2026-08-10 09:47:53.589862+00:00,,,94,Marigold,Flower,SEASONAL,MEDIUM,LOW,1816,Festival demand,गेंदा,ಚೆಂಡು ಹೂವು,சாமந்தி / செண்டுமல்லி,బంతి పువ్వు,ചെണ്ടുമല്ലി,झेंडू,ગલગોટો,গাঁদা ফুল,ਗੈਂਦਾ,گیندا,सयपत्री,ଗେଣ୍ଡୁ ଫୁଲ,গেণ্ডা ফুল,
crop-095,2026-08-10 09:47:53.589862+00:00,,,95,Jasmine,Flower,ANNUAL,MEDIUM,MEDIUM,3584,Daily-plucked,चमेली / मोगरा,ಮಲ್ಲಿಗೆ,மல்லிகை,మల్లెపువ్వు,മുല്ലപ്പൂവ്,मोगरा / जाई-जुई,મોગરો / જુઈ,বেলি / জুঁই ফুল,ਚਮੇਲੀ / ਮੋਗਰਾ,چمیلی / موگرا,चमेली,ମଲ୍ଲୀ ଫୁଲ,বেলি ফুল,
crop-097,2026-08-10 09:47:53.589862+00:00,,,97,Chrysanthemum,Flower,SEASONAL,MEDIUM,MEDIUM,768,Winter blooms,गुलदाउदी / सेवंती,ಸೇವಂತಿಗೆ,சாமந்தி,చామంతి,ജമന്തി,शेवंती,શેવંતી / ગુલદાઉદી,চন্দ্রমল্লিকা,ਗੁਲਦਾਊਦੀ,گلاؤدی,गोदावरी फूल,ସେବତୀ ଫୁଲ,চন্দ্ৰমল্লিকা,
crop-098,2026-08-10 09:47:53.589862+00:00,,,98,Tuberose,Flower,SEASONAL,MEDIUM,MEDIUM,1548,Garland trade,रजनीगंधा,ಸುಗಂಧರಾಜ,சம்பங்கி,నిషిగంధ / సంపంగి,രജനീഗന്ധി,निशिगंध / रजनीगंधा,રજનીગંધા,রজনীগন্ধা,ਰਜਨੀਗੰਧਾ,رجنی گندھا,रजनीगन्धा,ରଜନୀଗନ୍ଧା,ৰজনীগন্ধা,
crop-099,2026-08-10 09:47:53.589862+00:00,,,99,Gladiolus,Flower,SEASONAL,MEDIUM,HIGH,25,Cut-spike,ग्लेडियोलस,ಗ್ಲಾಡಿಯೋಲಸ್,கிளாடியோலஸ்,గ్లాడియోలస్,ഗ്ലാഡിയോലസ്,ग्लॅडिओलस,ગ્લેડીયોલસ,গ্ল্যাডিওলাস,ਗਲੈਡੀਓਲਸ,گلیڈیولس,ग्लाडियोलस,ଗ୍ଲାଡିଓଲସ,গ্লেডিঅ’লাচ,
crop-100,2026-08-10 09:47:53.589862+00:00,,,100,Berseem,Fodder,SEASONAL,MEDIUM,LOW,48,Dairy fodder,बरसीम (चारा),ಬರ್ಸೀಮ್ ಹುಲ್ಲು,பர்சீம் தீவனம்,బర్సీమ్ గ్రాసం,ബർസീം,बरसीम घास,બરસીમ ઘાસ,বারসিম ঘাস,ਬਰਸੀਮ,برسیم,बरसिम,ବରସିମ ଘାସ,বাৰচিম,
crop-101,2026-08-10 09:47:53.589862+00:00,,,101,Napier grass,Fodder,ANNUAL,MEDIUM,LOW,1792,Cut & carry,नेपियर घास / हाथी घास,ನೇಪಿಯರ್ ಹುಲ್ಲು,நேப்பியர் புல்,నేపియర్ గడ్డి,നേപ്പിയർ പുല്ല്,नेपिअर गवत / हत्ती गवत,નેપિયર ઘાસ,নেপিয়ার ঘাস,ਨੇਪੀਅਰ ਘਾਹ,نیپیئر گھاس,नेपियर घाँस,ନେପିଅର ଘାସ,নেপিয়াৰ ঘাঁহ,
crop-085,2026-08-10 09:47:53.589862+00:00,,,85,Grapes,Fruit,PERENNIAL,MEDIUM,HIGH,4864,"Trellis, high mgmt",अंगूर,ದ್ರಾಕ್ಷಿ,திராட்சை,ద్రాక్ష,മുന്തിരി,द्राक्षे,દ્રાક્ષ,আঙুর,ਅੰਗੂਰ,انگور,अङ्गुर,ଅଙ୍ଗୁର,আঙুৰ,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/grapes.png
crop-103,2026-08-10 09:47:53.589862+00:00,,,103,Fodder maize,Fodder,SEASONAL,MEDIUM,LOW,816,Quick fodder,चारा मक्का,ಮೇವಿನ ಮೆಕ್ಕೆಜೋಳ,தீவன மக்காச்சோளம்,పశుగ్రాస మొక్కజొన్న,തീറ്റ മക്കച്ചോളം,चारा मका,ઘાસચારો મકાઈ,পশুখাদ্য ভুট্টা,ਚਾਰਾ ਮੱਕੀ,چارہ مکئی,मकै घाँस,ଚାରା ମକା,পশুধনৰ মাকৈ,
crop-104,2026-08-10 09:47:53.589862+00:00,,,104,Fodder sorghum,Fodder,SEASONAL,LOW,LOW,768,Dryland fodder,चारा ज्वार / चरी,ಮೇವಿನ ಜೋಳ / ಚರಿ,தீவன சோளம்,పశుగ్రాస జొన్న / చరి,തീറ്റ ചോളം,चारा ज्वारी / चरी,ઘાસચારો જુવાર / ચરી,পশুখাদ্য জোয়ার / চরি,ਚਾਰਾ ਜਵਾਰ / ਚਰੀ,چارہ جوار / چری,जुनेलो घाँस,ଚାରା ଜୁଆର,পশুধনৰ জোৱাৰ,
